Symbol,Quantity,Last Price,Current Value
XOVR,109.168,$20.44,$2231.39
UFOX,14.907,$102.62,$1529.75
MARS,24.421,$42.98,$1049.61
ORBX,19.679,$74.84,$1472.77
LUNR,55.097,$43.83,$2414.90
UFO,49.111,$65.31,$3207.43
NASA,78.098,$40.17,$3137.19
RDW,148.076,$24.57,$3638.22
OZEM,98.761,$31.76,$3136.64
VKTX,25,$32.74,$818.50
THNR,93.428,$24.895,$2325.89
GPCR,25.217,$39.34,$992.03
HRTS,67.442,$34.33,$2315.28
DRNZ,58.096,$29.35,$1705.11
BOTZ,58.07,$40.15,$2331.51
JEDI,115.79,$41.97,$4859.70
AIQ,82.586,$67.32,$5559.68
ROBO,14.895,$88.64,$1320.29
AIPO,60.178,$32.83,$1975.64
BOTT,35.248,$54.10,$1906.91
RDW,146.971,$24.57,$3611.07
QTUM,10,$159.75,$1597.50
CQTM,30,$33.93,$1017.90
WQTM,75,$39.35,$2951.25
VGT,52.111,$121.06,$6308.55
SPMO,61.353,$150.59,$9239.14
VUG,48.752,$89.60,$4368.17
IMTM,55.142,$52.86,$2914.80
SOXX,7.688,$569.08,$4375.08
VTV,29.814,$211.85,$6316.09
IXUS,35.128,$96.74,$3398.28
XLC,4.196,$115.69,$485.43
CGDV,100.106,$48.51,$4856.14
UFOD,71.763,$27.315,$1960.20
PAVE,77.585,$56.31,$4368.81
VO,38.377,$78.96,$3030.24
XMMO,18.126,$168.84,$3060.39
AVUV,18.716,$120.05,$2246.85
XSMO,26.036,$88.13,$2294.55
MARA,92.423,$14.38,$1329.04
VRT,2.936,$315.71,$926.92
NLR,12.215,$133.30,$1628.25
SRVR,28.033,$34.73,$973.58
DLR,5.01,$190.00,$951.90
MSTU,250,$6.13,$1532.50
SMCI,120,$46.09,$5530.80
BBAI,720.3,$5.04,$3630.31
AMPX,100,$20.28,$2028.00
NVTS,105,$26.60,$2793.00
APLD,102,$47.28,$4822.56
SMR,150,$12.67,$1900.50
RZLV,200,$2.99,$598.00
KSCP,300,$2.92,$876.00
VERI,500,$2.12,$1060.00
ONDS,50,$13.22,$661.00
SIDU,600,$4.91,$2946.00
ARKQ,15,$142.87,$2143.05
FLY,10,$46.07,$460.70
RR,1096.953,$3.02,$3312.79
SSSS,200,$13.88,$2776.00
BUZZ,40,$40.54,$1621.60
SOFI,149.423,$18.22,$2722.48
RXRX,250,$3.59,$897.50
AMC,150,$1.73,$259.50
XLF,50,$51.58,$2579.00
HIVE,120,$4.52,$542.40
CELH,25,$33.27,$831.75
SERV,60,$9.35,$561.00
USAR,50,$28.01,$1400.50
GOOGL,1,$380.34,$380.34
DFLI,400,$2.11,$844.00
LAES,500,$3.48,$1740.00
DCO,7.147,$152.22,$1087.91
STM,20,$69.31,$1386.20
ATRO,12.33,$87.00,$1072.71
ARKG,33.107,$34.64,$1146.82
FBT,4.735,$222.74,$1054.67
XBI,7.597,$136.69,$1038.43
PTH,19.508,$51.97,$1013.83
SBIO,18.655,$54.44,$1015.57
GENB,75,$13.12,$984.00
BBH,5.454,$188.64,$1028.84
KLRA,75,$22.94,$1720.50
IBB,5.953,$172.18,$1024.98
FXH,21.846,$115.17,$2516.00
IHI,19.952,$48.96,$976.84
XLV,16.703,$149.47,$2496.59
FXZ,12.482,$82.82,$1033.75
COPX,11.956,$88.14,$1053.80
RSPM,26.055,$39.155,$1020.18
XLB,39.71,$51.17,$2031.96
NOW,5.76,$124.37,$716.37
WDAY,4.238,$146.19,$619.55
TEAM,4.526,$107.61,$487.04
CRM,3.6,$191.10,$687.96
SNOW,3.018,$255.55,$771.24
ZS,3.203,$139.73,$447.55
SHOP,3.192,$118.71,$378.92
SPAXX**,,,$38135.16
BPTRX,40.919,$252.68,$10339.41
IOVA,250,$4.10,$1025.00
NVO,30,$45.58,$1367.40
OZEM,3,$31.76,$95.28
EUV,30,$27.02,$810.60
KRKNF,400,$5.4621,$2184.84
STCGF,100,$24.00,$2400.00
,,,$6963.19
,,,
,,,
,,,
